,页码,评论者,星级,IP属地,评论内容
0,1,nikki,3星,广东,23_034。话说我好像没正经看过粤剧，只能说初次看还真的挺不习惯的。全程真人和CG结合这种真的画面挺奇怪的。另外虽然大家对这故事都很熟了，其实总结一句就是“美色累人”，明明可以自己修成正果的就为个男人这样拖累了不值得，真是不值得啊
1,2,臻圣,3星,北京,传播中国传统文化，值得推崇！场景美轮美奂，粤语清脆悦耳，演员唱念做打都是台下多年训练的功底。水墨画般的特效意外好看，很奇妙的观影体验。
2,2,zen,3星,上海,美则美矣
3,2,丁卯,3星,北京,画面很美，特效很漂亮，节奏很慢，其他没有任何惊喜
4,2,浮生若梦,3星,加拿大,影像的助力使戏曲这门艺术变得立体，也增加了更多叙事的空间，然而它并不能称之为电影。
5,3,凉白开养鱼,3星,江苏,特效牛逼，粤语很美，剧情…就不好说什么，毕竟是戏曲，跳着看
6,3,殺死金毛玲,3星,浙江,审美疲劳啦
7,3,乐马斯,3星,上海,我愿称法海为东方撒旦（狗头），最喜欢的角色一直是小青。其实已经很好了，给7分完全没问题，但如果说有什么问题的话，那在于戏剧与电影的平衡感，还可以更粤剧一点，现在部分对手戏和动作的处理太电影化了。
8,4,今生、唯爱,3星,浙江,我爷爷奶奶一定爱看，只是我现在还没有到喜欢戏曲的年纪！
9,4,徐友惟,3星,江苏,是我肤浅了
10,4,Goldstein.MoT,3星,北京,对粤剧无感，也不是个传统戏曲迷。只是凑凑热闹看的，形式上的确有创新之处，将传统戏台子搬到了大荧幕上。
11,5,逗号后面没有了，,3星,北京,画面精美，体裁新颖，也或许不算新颖，只是比较小众少见，毕竟《定军山》就是戏剧电影。
12,5,愿今朝,3星,江苏,唯美背景，不变唱腔，水漫金山视效磅礴，依然最靓看点
13,5,何欧点益,3星,浙江,支持传统文化
14,5,齐柏林某人,3星,四川,可以更好
15,6,伯彦,3星,广东,视效独一档的好，可以说每一帧都是壁纸，只是白话文普及到现在，国粹戏曲已经慢慢变成小之小众的艺术了。
16,6,奎妮（撒野版）,3星,广东,粤剧第一次看，新鲜感十足，但是在我心目中《青蛇》之后，这个老故事就很难超越了。
17,6,白色条纹,3星,浙江,还可以，但是没有弹幕里夸得那么天花乱坠。群体效应可怕。
18,7,帝九年,3星,河北,太美了，视听效果绝佳，真的没想到以这种方式重温这个故事
19,7,Christelle,3星,浙江,妖痴起情来，比人痴...白娘子不过为求一段情、成一段缘，哪知遇上个软耳根没主见的唉...这缘，是正缘孽缘也实在不好说...粤语的韵律很上头；但唱词与外包装形态和看到过的越剧都是同样的境遇与问题，粤剧还稍微好些...
20,7,笑央,3星,北京,小西天打卡，偶遇导演交流会。唱的片段偏少。大荧幕比看剧场省力气。
21,8,宝莲,3星,法国,电影视听对于戏曲来说是一种新的方式吗？美术风格非常禁欲，故事也是老掉牙
22,8,ilsbsblm,3星,浙江,小青依然亮眼~
23,8,2007,3星,河南,不太如预期总体不错动作戏有点儿太跳了戏蛮好听
24,8,愚人之智,3星,广东,每次看白蛇传的故事我都想连夜爬上恐直山
25,8,江湖一闲人,3星,山东,在B站看完了，画面很美。
26,8,零余者i,3星,山东,人执迷，妖不悟，盈盈袅袅一段情，文可观，画足叹，朦朦胧胧一处缘。半文不土，老且年轻，似是文化困境，也是文化出路。<3.5>
27,8,咸鱼啊做个人吧,3星,上海,画面非常美丽，尤其是水袖打戏飘逸如云，但是水漫金山时法海的特效怎么越看越像堕天使啊！
28,9,Sophie,3星,广东,飞机上放的，台词、翻译、特效有点意思。
29,9,张翔森,3星,辽宁,老掉牙的故事拍了一遍又一遍，不管是新瓶装旧酒还是换汤不换药，都无法令人提起精神。
30,10,火娃,3星,福建,6/10。烟雨朦胧和远山环绕的绘画布景渲染出一股灵动之气，人物常居于构图一侧，剩余的画面用白雾、竹林填充，圆窗的框景手法则将许、白新婚夜呈现出人妖相隔的意味。有一处空镜是把池中荷花置点缀于构图上下，其间鱼儿游动，镜花水月呼应了白蛇喝雄黄酒现蛇形、奔到卧室照镜子一场戏，镜水象征被压抑的本体欲望。影片以情为核心：法海对万物留有善念，看到青蛇林间飞翔并未阻拦击杀，劝诫许仙但不强留、原谅了动情放走许仙的小和尚；鹿仙童打斗中落崖被白蛇用水袖一把捞起，怜惜白蛇腹中胎儿，劝阻鹤仙童放任她拿走灵芝；当白蛇营救许仙，面对墨滴晕染聚塑为人群的棍僧，以舞如旋风的长袖武打回击，因身孕败退、凌空摔倒，舞动水袖来催动滔天巨浪，法海先用袈裟化作的金色墙壁挡在金山寺前，后挥起禅杖搅动巨浪，是情柔似薄纱而法威正如山的冲击性对比。
31,10,行行行,3星,美国,一开始找错资源看了部纯舞台演出的版本全程坐立不安哈欠连天也没感受出什么特殊舞台效果后来才知道还有这个“特效”版又找来看观影体验大幅提升人果然是视觉动物。。尽管总有无限拉长的唱段节奏仍比想象中快至少在达到枯燥感的边缘前还能有足够的画面吸睛平面舞台感的设计也很新颖不过好不好看最根本的问题还是故事可以再创新一点。。。
32,11,是茶,3星,河北,形式让我很吃惊又像水墨画又像话剧的戏曲小青真是人间清醒
33,11,那一抹无名的红,3星,湖南,2.5文戏走传统，武戏上特效，怎么说呢？那舞台上，水漫金山这场戏正经是怎么演的？演员表演不差，尤其是打小练的身段，架子一摆开，看得见的好。只是就还是，这样的结合基本是两头都没顾不上，感觉创作组就没想明白，要表现的到底是什么，拍脑门想就上简单的拼贴，太敷衍了。所以粤剧，伴奏组里还有弦乐组？
34,11,是为卿封笔吖,3星,黑龙江,这里是恋爱脑小白蛇和人间清醒小青蛇挺感动的。
35,12,Lyons,3星,北京,戏曲电影的新尝试，白蛇故事并无创新，收尾部分的唱词还略显尴尬，CG技术的加入提升了部分观感，却也让另外的部分显得廉价，水漫金山几场的set很容易想起徐克的《青蛇》，ps说起电影感这东西，比起NT疫情期间由舞台剧现场转成戏剧电影的《罗朱》，真的差了不止一点
36,13,Lucky李IST,3星,江苏,"白蛇傳·情(2019101min粤语)2022.09.03曹杨影城推荐星级：★★★小李评分：6.3小季评分：6.5#粤剧五折戏，能勾起年轻人对戏曲的好奇心，戏曲和电影的交融可以成为中国风的歌舞片。澳大利亚和韩国的特效团队贡献90%的特效画面，山如眉黛，雾锁江南，水漫金山的特效令人惊叹，赋予戏曲这一艺术形式更加优雅的姿态。构图考究，审美养眼，戏曲由真而实更为自由融合，水墨写意，更讲究的是器乐和留白。依然是小青的台词最为接近""有情""的内核：""人家你情我愿，碍了谁人的眼？关了哪佛的事？逆了哪里的天？""#"
37,13,summerwine,3星,北京,补。去年在77那个简陋剧场看完的，印象里洋红色调重得离谱。
38,14,无复烟火,3星,江西,每一帧都跟中国水墨画一样白蛇传的故事确实是家喻户晓不过第一次接触传统戏曲中的白蛇它没有拖沓的剧情没有演员替身全都是演员自己实打实的功夫初遇-定情-昆仑盗仙草-水漫金山-续情-守护雷峰塔我非常喜欢小青这个角色从一开始懵懵懂懂跟着白蛇来到人间不知人间的感情有何好处但见到白蛇的经历从一开始对许仙的崇拜变成讨厌面对法海毫不惧色坚守自己的想法片中的《圆我的愿》用温柔的女声唱出白蛇对许仙感情的坚韧不悔而《天蓝蓝水涟涟》总能让人联想起西湖美景波光粼粼的湖面盛开的荷花……转自B站评论区
39,14,这里,3星,上海,很美，但美不等于艺术，美的过于端庄反而趋向于无趣。何况白蛇传的故事讲了千万遍，纵使情深意切不变，社会的主要矛盾却早已变了。
40,14,麦田牧羊人,3星,广东,美术和特效都很美很有韵味，但是还是耐不住很困，可能是这个经典故事被演绎过很多次了，加上粤剧这种形式说词太漫了，有点难入戏😂。
41,14,璐尔北,3星,北京,用看戏曲依然觉得遭罪来判定自己应该还没上年纪，偏通俗的唱段倒是挺好听的。
42,14,葵栗,3星,四川,质感不如宣传片
43,15,回车挂扶桑,3星,北京,1分创意，1分特效，1分文化保护
44,15,潘晓婷,3星,吉林,画面和唱腔美则美矣，故事内核还是老一套，远远不如30年前那版《青蛇》，娇媚的王祖贤、曼妙的张曼玉、挣扎的法海。
45,15,森sen,3星,山西,3.5
46,15,u,3星,四川,画面很美奈何鄙人实在不感冒
47,16,马来可,3星,北京,戏曲艺术与电影艺术一次有趣的尝试单从电影角度来谈还是有很多应该做的更好的地方……
48,16,Youlzihu,3星,陕西,三星给类型吧
49,16,泡鱼,3星,广东,非常不错的视听体验，CG+粤剧，同样也喜欢许仙的改编结尾，但愿世间情常在，不负人间一百年。
50,16,Linkinopio,3星,上海,剧情没什么新意，只是粤剧电影的形式和画面质感值得一赏，看完审美又多元了一些。
51,17,Po1arBear,3星,德国,构图色彩确实好看，希望以后能有更多这种融合中国传统戏曲的电影出现。
52,17,直到世界尽头,3星,山东,戏曲和电影在表现上还是有较大差距，三星给勇气，不禁想起之前的相声电影
53,17,柏实,3星,江苏,看起来法力高强
54,18,山岄,3星,北京,画面很美，可能我对戏曲艺术暂时欣赏不来
55,19,JUNWK1334,3星,上海,形式算挺有想法，但你跟我讲这背景他妈是西湖那我也只好微笑了。剧情上感觉几乎没有任何新意，到如今白蛇入人间还是为了跟许仙续前世姻缘，有点恶心。只好讲唱词和身段好像还挺美，但话说回来我对粤剧毫无鉴赏的基础知识，这方面可能也只能看个热闹。
56,19,凯奇,3星,广西,披着cg的超英戏曲电影
57,1,Friday,5星,北京,本来找白蛇1呢，以为这个是，看完了才发现不是😂老师们工夫很深，画面很美，剧情耳熟能详没有别的创新，粤语调调听的有点困，不是很合我的口味
58,1,魏紫,5星,湖北,美
59,1,林妹妹在线rap,5星,江苏,厉害好看，当天很烦，本以为看这个会枯燥无味，结果挺好的
60,1,xr,3星,广西,武打戏份也相当精彩，导演并没有完全使用影视剧的语言逻辑，安排详实的布景和群演，故事基本上是在水墨图一样的渲染中展开，建筑风格也以美感为主不甚考究，甚至白娘子的前院铺上的是非常漂亮的灰白日式枯山水。
61,1,Hygge,4星,山西,从来没看过粤剧，但这个和数字技术结合的戏曲拍的实在吸引人。不知道白娘子传奇原著就是这样的还是怎么，很多台词像《青蛇》。
62,1,头梢柳上月,5星,北京,真没想到拍的如此惊艳。能把白蛇传的故事拍的这么别出心裁还真是大开眼界。
63,1,热心市民,5星,上海,@bilibili每一帧都美如画！
64,1,iooo,5星,江西,好看好看，戏曲也能做出年轻人喜爱的形式，怎么不可以！
65,1,破碎太阳之心,4星,重庆,看了开头片段好美啊
66,1,2023,5星,山西,妈呀，我好爱
67,1,草木青,4星,辽宁,感觉这个版本的剧情才更接近经典爱情传奇的样子，每个人的立场都合理但宿命还是给故事推向悲剧。特效挺好的，很有韵味，就是很多唱词偏俗，有些违和。
68,1,Déprimant si et,1星,广东,我宁愿去剧院买票，看人唱大戏，贵点就贵点。个人推荐一颗星，完全完全不推荐看。如果一定要欣赏戏曲影视，建议看看台湾的歌仔戏系列。台湾歌仔戏也是戏曲改编成影视向的戏曲，比这部电影好太多。真闹心，浪费时间看了一部烂片。
69,1,咿呀咿呀哟哈,3星,福建,一种颇有烟雨朦胧的江南氛围感的背景，一个我很熟悉的故事情
70,1,来世再见王小姐,5星,青海,刷逼站刷到了这部电影，又看了一遍。当时我记得是那段短暂的放风时间而且逃了我最喜欢的电脑课打车走了7公里才去哈一百旁边那个商场去看的，虽然过程非常的坎坷（牛魔的回来害感冒了我记得），但是我认为这次这种体验大概是自正联后第一次对一部电影产生如此浓厚的兴趣（可能是那段时间一直在看昆曲长生殿，牡丹亭之类的。但这部是粤剧）对于一个新时代的正常年轻人可能不去骂这部电影已经是一件好事了，做出改变是很难的，尤其是像戏剧，上一次的改变还是《十五贯》，伟大的毛主席不仅拯救了中国，也拯救了昆曲，本次改编第五折还是第四折白素贞大闹金山寺水袖那段戏是很对我的口味，电影+戏剧并且融入了武术和特效的效果对于老一辈的人肯定是赞不绝口，但是戏剧本身的节奏和语言模式对于不喜欢戏剧的年轻人可能是2小时的折磨，这个东西见仁见智吧
71,1,艾瑞可,4星,广东,还是不错的
72,1,做好自己胖别人,4星,四川,白素贞好美啊，武术动作精美，好看的
73,1,三朝进士,4星,甘肃,水漫金山的特效和编排可以称得上美轮美奂，用水墨风的背景衬起仙法对决，既满足了现代观众的观感，又不跳出传统戏曲的美感。但是有一些部分，由于戏曲与电影在艺术上的天然冲突，并不能在大荧幕上很好的展现。如开头许白相会用特效让二人上天入地，显得有些跳跃混乱，破坏了戏曲审美的节奏。又如最后白娘子永镇雷峰塔的段落，戏曲舞台上以伞为塔的处理，意味深长，却是只属于戏曲舞台的高度意向化表演，电影中直接造出一座塔的处理方法，比原戏曲显得笨重，也丧失了这部分的美感。
74,1,Ada.苒菻,5星,北京,直接爱上越剧！！！完美啊，无可挑剔啊！如果非要鸡蛋里挑骨头那就是花瓣特效还可以更加精进！比那个动画白蛇不知道高出多少个大鱼海棠哈哈哈哈哈！爱死爱死了！可惜没去电影院看！
75,1,涤玄,4星,山东,一部戏曲电影，也有特效，更有中国传统写意美学营造的意境美。情思缱绻，本就泪点高现在又不太吃爱情的我看到最后竟不觉落泪了。
76,1,爪子,5星,广西,演得真的很好啊，从来不知道粤剧演员这么优秀，不仅长得漂亮，演技还好，唱得很好听，手上都是肌肉打戏自己上，太牛了！看完就被“姊姊”“小青”洗脑到现在。能不能多来点这种，比各种乱七八糟改编的动漫白蛇好看多了！
77,2,萌兰,3星,北京,这是一部经久不衰的戏剧，跟电影联合起来的影片剧情描述的是白蛇跟许卿的爱情故事。
78,2,9_随缘,3星,山东,武打戏份也相当精彩让人大饱眼福
79,2,CING,3星,广东,粤剧很好，身段唱功都好，水袖好厉害，但按电影角度，镜头设计一般，舞台感比较重，背景虚假特效多，戏曲电影创新但风格需要适应。
80,2,一li幼苗,5星,河南,好看，传统戏曲故事多改些
81,2,无语,3星,广东,可以
82,2,梁伧,5星,广东,一帧一画，一颦一笑，一举一动，太美！！！
83,2,胡一白,5星,福建,改编成电影也太好看了吧，首先画质很棒，非常有中国的古典美学，里面的武打动作都非常流畅，优美。电影与传统戏曲完美结合，场景特效，服装搭配，转场都很不错，粤语唱词婉转悦耳，人物形象立体，台词功底扎实，通过小人物之口，说出为人之道，有情才为人。最喜欢的是第三，四，五幕戏，太精彩了。
84,2,Felix,4星,广东,惊艳的粤剧电影！
85,2,七七七七七七酱,5星,北京,好美，完全符合中式审美的背景第一部戏曲类的电影，前后拖了好几年才看完，哈哈哈哈心情平静的时候还是很愿意打开的
86,2,末先生没有詩,5星,陕西,如何绝美水墨人间！！！
87,2,海绵,4星,浙江,cg加戏剧，很好
88,2,WgkT,5星,广东,不敢说《白蛇传情》保留了多少传统戏曲的精髓，不敢断言能成为中国戏曲电影中的经典，但绝对是一部里程碑大作。最大的短板是故事无疑，许仙的形象还是稍显薄弱，可贵之处是运用数字视效技术呈现出了一个全新的充满现代感的粤剧舞台，虽然有穿帮，但在氛围营造上非常有效，光是水漫金山的那个水墨特色镜头就让人起鸡皮疙瘩。而且打斗、人物表演、台词、服装、道具、配乐节奏水平都很高，吊打一众廉价古风剧制作。在大起大落，起承转合过后，结尾的白蛇入塔高潮戏码竟然戳到了我的泪点，曾小敏老师的唱腔功不可没。这才是真正的艺术创新，不光传承了戏曲形式，还重新树立了中国古典审美的标杆。以后如果有人一时兴起想在艺术电影里淘金追忆，我觉得《白蛇传情》值得被挖掘和鉴赏。
89,2,瑞典神厨,5星,江苏,支持中华文化之瑰宝
90,2,拾贰二,4星,浙江,中国文化之美，画面好，台词好，唱腔也好。
91,2,Will,5星,天津,第一次看粤剧，遗憾当初上映时没有去大银幕看，想必体验一定会更好。
92,2,知归,未知,陕西,看画面和构图啥的特别像徐克的《青蛇》
93,2,剪一湖秋蓝,5星,北京,虽然是粤剧，但有电影的美感。排山倒海的画面很震撼。
94,2,Tomorrow,4星,山东,剧情紧凑，看完很多人还没走，差不多直到听完歌才走。
95,2,棋魂&OP!,5星,上海,第一次用美来形容电影。虽然平时不怎么看戏剧，但电影与戏剧相结合的形式让人感觉很舒服。
96,2,木朋Joy,未知,北京,画面极美韵味醇厚
97,3,jackman,4星,江苏,保持原有故事魅力的同时，通过创新的视角、深刻的人物刻画、卓越的视觉效果和丰富的文化内涵，为观众提供一个既熟悉又新颖的故事，那么它可以被视为是一次成功的改编，尤其是戏曲元素的注入，塑造了一场东方美学的视听盛宴，也是传统戏曲新的希望，无论是特效之作，还是艺术审美设计，或者剧情发展，都源于中国传统文化，东方传统文化审美本就是最好的拍摄主题。
98,3,乔阿治,4星,云南,水漫金山好好看zeizei！！
99,3,静恩,5星,广东,【观感】8.5。粤曲美、动作美、特效美、场景美、情美。可惜了，没在电影院看。希望能有多一些同类作品。粤剧粤曲再灿烂。
100,3,我是可爱小仓鼠,5星,广西,额…我觉得我的妈妈会很喜欢看，我不喜欢。
101,3,noya,4星,河北,第一次看戏剧与电影的结合太惊喜了！！不管哪个版本我还是觉得许仙很有问题！
102,3,.,4星,重庆,电影和电视剧不一样，电影在大荧幕上，所以十分考验演员，演员所有神情动作都会无限放大，还有电影的特效，都决定了观众能否沉浸到电影当中，这部影片，我觉得很好，给了观众很好的观影体验
103,3,大龙,5星,江苏,#粤剧电影谯国夫人#谯国夫人北京超前观影#电影谯国夫人，电影白蛇传秦拍的很好，有宋代的场景，精巧的道具，水墨般的画面，表现出中华传统戏剧的韵味，背景音乐堪称一流，是一部不错的视听盛宴。
104,3,秀,5星,北京,人若无情不如妖，只要有情妖亦人。
105,3,墨水鱼,5星,浙江,第一次觉得，粤剧也可以这么好看好听，艺术家就是艺术家
106,3,南木砂,5星,四川,很美。
107,3,一只双下巴,4星,浙江,唱的好美
108,3,🌸,5星,上海,人若无情人亦妖
109,3,哟,4星,河北,好看推荐
110,3,Leslie,3星,上海,形式不错，整体还是加了特效的粤剧，称不上好的电影
111,3,快乐小狗找乐子,4星,福建,画面好看的
112,3,財苑,4星,浙江,去年的时候就发现了这个剧，一直屯着没看，这两天看了是真的好看，尤其是发现新龙门客栈这个越剧也准备搬上电影舞台的时候，我真的好奇，当电影与戏曲结合在一起之后，又会是什么样子的美景呢？
113,3,Kiki,4星,浙江,青白蛇这个题材我愿意一直看下去
114,3,纯良窝头,4星,上海,从小就没看过什么戏剧，长大了虽然不至于讨厌，可还是喜欢不起来。
115,3,爆炸小狮,3星,四川,（补）和yjy看的，画面挺美的
116,3,咕噜咕噜顿巴克,4星,湖北,全程我感动的点，居然在鹿仙童救白素贞和法海弟子私自放许仙这两个！
117,4,弥生小姐糯米桑,4星,英国,作为戏曲艺术观赏。30岁以后白蛇传这样的故事看不了一点。
118,4,源来如此,5星,陕西,东方美学
119,4,海盐焦糖icy,5星,河南,可惜没得看大荧幕，投影仪看着还是少了点什么
120,4,momo,4星,广东,水墨一样的场景，很美。
121,4,梁只老虎🐯,4星,广东,真的强烈推荐大家去看，单单从文化角度就值得我们应该去支持一波。但是偏偏这部电影，无论从演技，专业，画面，都非常不错
122,4,莹航,4星,山东,8
123,4,朱诺,3星,浙江,不太喜欢
124,4,人类,4星,广东,可以的
125,4,胤澈,5星,四川,真适合过年过节一群亲戚来串门的时候，就这么往电视剧上一放，哎，这粤剧戏腔既熟悉又热闹就对了，因为都忙着瞎几把吹牛，没人看电视。
126,4,躲起来的云,5星,广东,粤剧电影好听，打戏有力量，水墨景致看起来很舒服，法海的形象也庄严讲道理
127,4,咕咕,4星,重庆,画面超级美
128,4,927,5星,河南,一颦一笑，一举一动，水墨画风，妆造构图，粤剧唱腔无不美轮美奂～小青飞起来太美了～
129,4,Yvonne,4星,广东,画面很美白素贞恋爱脑青妹人间清醒许仙软弱无能还无知白素贞与许仙的结缘起于女版许仙男人果然不靠谱
130,4,你嘴角的小梨涡,4星,福建,这个法海的斗法才是得道高僧的感觉，赵文卓的法海太张狂，赵雅芝版本的法海太猥琐
131,4,海之言,4星,安徽,成功并不能用一个人达到什么地位来衡量，而是依据他在迈向成功的过程中，到底克服了多少困难和障碍。
132,4,醒醒爱看书,4星,广东,好新颖的表现形式。唱的好听，打得好看。小青说的真好：妄你修炼千年，却学会了委屈自己。结尾是有点突然了。
133,4,thankyou,5星,河北,太美了也，属实没想到
134,4,Nurtamë,3星,浙江,24.6.133.5，还可以。背景CG感太重，过于“匠气”，失掉了很多水墨的写意美。电影节奏不太好；如果是原本戏曲体裁造成的问题，似乎需要更大胆的改编。以及某几首曲子的填词风格好奇怪啊！小青可爱得不行。
136,4,小钻风,4星,北京,美！特效好！表演好！
137,4,kylegun,4星,北京,当有人看了《天空上尉与明日世界》和《罪恶之城》后，灵感大发：我们把粤剧也拍成这个样子吧。老把式唱戏加新CG特效，且看青蛇像超人一样飞出破云效果，“（法海）师父，你看那边有人在飞喔！”大概这种感觉。“枉你修仙千年，却只习得委屈自己。”这也是所有传统戏剧如何存活延续所面对的问题吧
