Column1,Column2,Column3,Column4
黑龙噬魂,男,湖北,我想说一句啊。从一开始白蛇与许仙的缘就是白蛇强求而来，之后还把许仙吓死了一次。有人肯定要说，因为许仙买雄黄酒给白蛇喝了，才会现出原形。但是许仙又不知道他娘子是妖变的，雄黄酒古时人们认为他有辟邪补身功效。许仙买雄黄酒给娘子喝。本就是好意。哪知道自己娘子是妖啊。当时就被吓死了。其实到这里来说缘分其实就已经断了。人都已经死了。白蛇到仙山上摘取灵芝把许仙救活，这已经是逆天之举。之后许仙因为吃了千年灵芝，可以感知到白蛇的本体。又听到他人在说娘子可能是只蛇妖，心中很是疑惑。才去找法海求得答案。之后便被法海带去寺中断却这段缘分。然后就是白蛇带着青蛇。想把许仙带回来。然后就跟寺庙里的那些僧人打了起来。有罗汉的屋子的时候，许仙那时正在被度化。那个阵法凡人是出不去的。之后许仙看到娘子受伤想出去。怎么也出不去，拿头撞也出不去。然后就是白蛇身受重伤。躺在西湖岸边。青蛇说他负了白蛇，但是白蛇没告诉他，她为了救他去摘了千年灵芝，还受伤了。许仙根本不知道这一切。之后小青才说出了这一切。许仙这时才知道。但大错已经铸成。天道为他们的情悲悯下雪，但是白蛇用大水淹山造成生灵涂炭被天雷劈是免不了的。被劈死是绝对的。只不过有人帮她挡了一下。然后就是镇压在雷峰塔下千年。许仙也在雷峰塔边陪着她，直到老死。[呲牙]
火锅里不放肉,保密,上海,没想到能看到如此精彩的戏曲类电影。
y1mo_,保密,四川,太棒了！！
是裤裤不是酷酷,保密,广东,广州老实人表示打小就不喜欢粤剧，但是如果粤剧以这种形式表现，真的很容让年轻一代接受并且喜爱，梁祝聊斋木兰孟姜女安排一下啊！！！很喜欢里面的一句台词：谁的情话，流传人间（千年）~[脱单doge]
闻蝉但益悲,保密,江苏,恋爱脑引发的悲剧
Aaronyl918,保密,福建,9.9 分，我想知道吗 0.1 分怎么扣的[doge]
博物小生,男,广东,问世间情为何物，直教生死相许。在纷繁复杂的当下，我们听多了出轨、离婚、抛弃，对真情失去信心，只能用华服、豪车等外物安慰躁动却又无奈甚至受伤的心，今日赏佳剧、忆惊情，愿每一位观众朋友都能一生一世一双人。
方正杨,保密,江苏,这特效风格  相较于比起现在这些年层出不穷的古装仙侠言情剧  精致逼真多了～～
keyong1050,男,广西,今天不知道是第几刷了[微笑]
sonasu,保密,广东,马娘可以，猫娘可以，犬娘可以，蛇娘为什么不可以[傲娇]
卖火柴的红萝卜,保密,上海,没啥文化，只能说一句，真美
墨墨水水,女,广东,好看，水墨风好美啊[打call]第一次看粤剧电影
小屁孩爱吃鱼,保密,湖北,曾小敏老师真是非常潮流的戏曲人!
莫妮卡卡哒哒,保密,广东,好美[大哭]
栖霞之,女,江苏,啊？戏曲片不是都这么拍吗，我还以为拍摄方法多新奇，特地来看。。
咸鱼们的老大,女,广东,这版的法海与白青两姐妹只是立场不同，法海是真的有出家人的慈悲在的
BeCrazyDevil,保密,江苏,这部电影不能投屏，哪位uu知道是为什么，其他视频都可以投5555
吖布Andrea,保密,广东,太拖沓了，真的太拖沓了。剧情造型演技都很好，但是有些地方好能拖。看着好累。
春林雾,女,四川,呜呜呜，美呆了
灰常海海,保密,广东,电影的舞台效果就已经炸裂了，我小时候就是跟着奶奶去看了不少戏剧，这台粤剧迈出的步子很大很大了。这个比迪士尼的伪中国风动画，不知道纯正多少倍呢。
钱小妞淘气,保密,山东,2023了我还在看，希望下次能在电影院看新片，太好看了
岸久久久久,女,上海,太遗憾了，没能在电影院看到
刚才驱之不散把,保密,广东,好看呀，兄弟姐妹们好看，老少皆宜的优秀作品啊，真的是老少皆宜，真的好看，仅此一份
甜笑为别,男,未知,21年的时候，有幸在电影院看过[呲牙]，那一场人也有三分之一
西山大树,保密,湖南,除了戏曲电影，哪还有电影让我们台词都背下来了还在一遍一遍刷的
苏溪汀,保密,福建,真不错
joyjoy103,保密,北京,希望潮剧也能搬上电影屏幕
子瞻约我BBQ,保密,浙江,太美了[大哭]表白白姐青妹[给心心]
ParisHill,保密,广东,[辣眼睛]早七点还有八个人看，这句上头几年啊看来
141麟某人,男,山东,各位兄弟姐妹，法海是金翅大鹏的转世吗？[脸红]
玉广文俊,保密,广东,非常喜欢曾老师
路远有江莱,保密,河北,好看[打call]
不可爱就不可爱,男,浙江,我记得，青蛇貌似刚开始设定是公的吧[滑稽]
晴开咸阳雨落长安,保密,重庆,千年蛇妖人避嫌，唯有许仙相爱与。若恐千年等闲之，诺你千年相约之。
长岛冰茶er,男,广东,不愧是院线版，视听表现太高级了
萨适二航钥,男,北京,难道我前前前前前前世就没救过小动物吗[酸了]，这么久了怎么还不来报恩[热词系列_锤]
啊呜三大口,保密,安徽,佳作中的佳作
沧梦妖心,保密,湖南,这是？
小泓爱唱跳,男,广东,这个字幕能调大点吗，我在给我奶奶看，但她有点看不清字幕
BulaChiang,保密,山西,太美了，从头到尾就是一个美字
猪突猛进123,保密,河北,水漫金山在石头上定格动作时间太短了[大哭]帅的有点看不够
御坂9993号,保密,安徽,"把戏曲搬上大荧幕，利用特效打造超一流的视觉听觉盛宴，舞台上短短几步不在是幻想的代表，而是荧屏里的千山万水。几句独白不在是无力的默念，而是唯美动人的画面。
这部白蛇传一改所有版本的人设和台词剧本，一言一行暗含道理，一字一句关乎逻辑，妖怪和得道者不在是苍白冰冷的代表，凡人也能在仙佛面前有自己的一席之地。
不仅真正的发扬创新了传统戏剧文化，更是把一个普通的爱情故事升华，整体水墨风的特效别具一格，每一帧都是壁纸，无论演员功底还是服化道，都达到了国产电影的巅峰水准。
这部白蛇传堪称新世纪的经典，文化瑰宝。[热词系列_三连]"
邵思逢,男,广东,之前好像是单独购买的6块钱
配音的banana,男,辽宁,艺术啊，这就是艺术啊
kuailelibl,保密,江苏,好剧好电影
北方游侠x,男,内蒙古,纯路人，只听过几段京剧，但看到这样的表现形式很开心，感觉非常棒！还是艺术工作者们严谨，细致，有想法，有诚意，相较于娱乐向的影视剧作品来说，好的不是一星半点，值得认真看，反复看，希望这样的作品越来越多，把更多的戏剧带入大家的视野中，特别是带给年轻人，特别是下一代！真正的与时俱进，传承下去！
流星之绊1993,保密,广东,留个名，很好看，我想起了一个姑娘
噫噫噫噫咦弋,保密,广东,好看好看，跟我妈看到了十一点[打call]
otlzzqq,保密,重庆,100分
凌星月,保密,四川,所以就是角度不同心也不同，纣王知道妲己是妖就算她祸国殃民依旧给她万千宠爱，许仙知道了白素贞是妖纵使白素贞一片真心他还是马不停蹄的去出家
野生宁崽,保密,北京,白蛇传为什么是中国四大民间传说故事之一，就在于仅仅一个一人一妖的相恋故事，故事涵盖范围却包含了反抗封建礼教、缘起缘灭的宗教探讨，众生与私己的价值取舍，人情与法制的对立统一，而且探讨的淋漓尽致
梅医酆F,女,湖南,好看
把美梦捕捉,女,陕西,"我真的可喜欢白蛇传吧 从小就对白蛇传印象深刻 我还迷迷糊糊记得小时候白蛇喝下雄黄酒露出原型摇着蛇尾巴的样子 真的印象深刻 不过那时候还不懂什么白蛇传里所说的爱 现在呢稍有一些自己微薄的体会
先说白蛇吧 我觉得白蛇是一直被歌颂的最深情的角色 事实上确实是这样 没有人能比白蛇更理解所谓的爱 她轮世千年 与许仙续缘 不知结果如何却能够赴汤蹈火 真的可敬 她不吝啬千年修行只为与许仙再论前世因果 再看西湖畔水  冥冥之中定下的缘分使她不惜喝下雄黄酒 她甘愿取灵草救许仙 甘愿自损未来被雷峰塔镇压  即使面对许仙对爱情的懦弱她也能够磊落坦然的接受 她不怪罪许仙 只笑着哭着说这是自己命里的劫 呜呜呜我的白蛇姐姐 她寻求爱 光明且大义
然后说青蛇 我觉得青蛇的角色刻画的很棒很巧妙 青蛇只有百年修行灵窍未开 我以前看的时候总觉得青蛇做事太过鲁莽太过轻浮 但现在想想她作为一个小妖精 能懂什么世贤圣理呢 她只不过从她的角度去真心实意为自己的姐姐考虑 即使水漫金山前途未卜也甘愿前仆后继 她不懂人间清欢 却清晰的了解她与姐姐的情谊(有时候觉得我就是青蛇hh)
再说许仙 以前觉得许仙可软弱可没担当 而且看影视弹幕评论也都是这样评价他的 但我如今却觉得 许仙是我们每个人切切实实的青春刻画 他与白蛇的相遇只是在他这个世界里的机缘巧合 你让一个凡人一微芥子去理解白蛇的缘吗 怎么会懂啊 你若遇见妖你心里不会胆怯不会害怕吗 他在法海劝说下去做和尚 这正是以他的方式去了结因缘去填补自己的内心 他做的是不完美可最终不也成全了和白蛇的相爱吗 我觉得大家评价不要对他太过片面刻板 轻点批评他
最后说法海 法海代表的是守护人间秩序的佛祖 他不能全部说成正义也不能全部说成邪恶 他就像阴阳二面去安定人与妖的界限 都说法海不懂爱 他确实不懂 他只是去完成他自己应尽的职责 不过他拆除白蛇许仙的手段确实太过冷血(当然这是从个人的角度里看的)  他以他的方式去维护人间 毕竟人妖殊途天理难为嘛 有些版本里刻画当他遇见这段与世俗欺诈伪善不同的爱时  他也会动容去放下自己的成见 去成就这一世白蛇许仙的爱恋
(???ε???)就写到这了 期待我以后能从青蛇成长为白蛇"
qq22qq2q,保密,河南,青年艺术家，名不虚传
sarah丶Ang,男,山东,@Amby安心 看这个
天山罗老侠,男,山西,我就是为这部片子充的大会员
耍氓的小妖,保密,广西,比起那是三天的速成片，这个片真的不要太好，文化蕴含，历史，科技，演技，全部都有，真的是太震撼了
耍氓的小妖,保密,广西,真的超级好看
屠龙者难离渊,保密,海南,戏精
喜黑仔窝,保密,广西,封顶的艺术佳作，即是传统粤曲传承与创新更是与电影的完美结合。这样的结合让电影的每个镜头都是一幅画。真佩服电影创作者。期待下一部佳作
目标是发动地鸣,男,广东,白嫖大会员再来重温，4k+杜比真的无敌，眼睛耳朵都怀孕了[脱单doge]
账号已注销,保密,福建,[给心心]喜欢小青
最高宇宙,保密,贵州,这里的特效看起来，不知道为什么，我居然觉得比那些所谓的玄幻剧好多了
我的已梦想成真,保密,辽宁,疫情结束了，能不能重映呀
为了夜兔一族,保密,重庆,好剧，值得细细欣赏
一生一念一念一生,保密,山东,牛[给心心][给心心][给心心]
sherrywax,保密,广东,全片最可惜的就是用了枯山水……
Ipanema7,保密,上海,巡演！巡演！喜大普奔，2023年10月29日，上海天蟾逸夫舞台，广东粤剧院来巡演《白蛇传     情》了，可以买票啦家人们??????????
有活力的的桂鱼松鼠,保密,山西,许仙劝酒那段第一次看的时候感觉好尬，但再看总是忍不住要多看两眼，感觉这段是全片最欢乐的，第一遍跳着看等第n次看，感觉这段好有戏的，根本不敢眨眼
有活力的的桂鱼松鼠,保密,山西,东北人听不懂粤语，第一遍看电影的时候，有时候要死死的盯着字幕，但真的很好看，身段唱腔，特效化妆都很棒，刚开始看不下粤曲唱腔想跳过，但剧情好精彩，不想破坏剧情连贯性，就想忍忍就过去了，但越看越好看
就如当年相笑时,保密,河南,彩！
祯礼在呢,男,河北,好听！
淡盐水,保密,广东,不是粤语版吗，怎么说话还是国语
翊杉,保密,吉林,难怪粤语歌好听，原来打根上粤剧就这么好听
车前子L,保密,上海,上个世纪也有很多好的戏剧电影，我是安徽人，记得小时候就看过黄梅戏电影天仙配、龙女，还有其他的歌舞电影如刘三姐，阿诗玛，只是戏剧没落了，这些也就没了传承
2013小小虫,保密,山东,"不落俗，不媚世。
多情生，无情止。"
糙米水,保密,湖北,牛逼啊，这么好的东西我怎么今天才看到[大哭]
摸鱼的数字君,保密,广东,白娘子和小青的衣服真的好看
枫影月夜,保密,浙江,可惜特效不是咱们国人做的。
枫影月夜,保密,浙江,画面牛逼画面牛逼。
虎虎虎猪猪猪,保密,广东,我在电影院看的[星星眼]，来小破站又看一次
青木白t,保密,海南,石砌的塔有点尴尬
白玄,保密,广西,超震撼[大哭][大哭][大哭]
ssjxzl,保密,浙江,真的太棒了。。。
曾院长请收我为徒,男,江苏,最后一段，老泪纵横
楂阁下,保密,广东,纯粹、感动
黑山老妖聂小倩OL,保密,陕西,很遗憾我们的城市没有上，不过有幸B站看了好几遍，个人感觉这部电影最出彩的除了曾院之外就属王燕飞的法海了，无论从扮相还是动作设计他的法海都是排在前列的，他站在那里就像一个降妖除魔的大武僧，确实比剧版里的那个只会用金钵盂收人的白胡子老头看着更像是印象里那个不近人情的法海，当然赵文卓的“大威天龙”不算，那个需要先看一遍李碧华的原著小说才能理解的法海，
云开明月月高悬,保密,广东,好看
81611428144_bili,保密,吉林,太好看了
得之心而驭之久也,保密,四川,这部剧的每一个片段的背景纯音都让我想起了 老金
5184673,保密,天津,唱的部分让我很尴尬难受，，不知道为啥，换成念的是不是会好点，审美超级在线，一直截图[给心心][给心心]
copy_pink,保密,广西,从待你归来宣传曲来的好好听啊迷上了
桃g治子,保密,浙江,好看爱看
RWBY丶飞羽,保密,山东,建议关弹幕观看，弹幕小学生是真下头，怪许仙的，怪法海的，就是没有怪白娘子的，因为人家是女的嘛，我跟你们说说它们怪的观点，首先怪许仙是因为什么呢，就是因为许仙知道白娘子是妖之后，出于对妖的恐惧，法海的强留，事后人家许仙想通了，对妖再次立誓不离不弃，唉，这就成渣男了，嘴炮了，我寻思这要是渣男，现代估计七八成人得送火刑架吧，再就是法海，水漫金山居然能怪到法海头上我是没想到的，我寻思你们斗法非得弄得那么浩大自己控制不了才行？水淹金山从本质上就是白娘子没把别的普通人放在眼里，为了许仙管他人死活，在这些人眼里那就是爱情太伟大了，要是被淹的是它们，我估计早就问候某妖18代了，还有说许仙耽误白娘子成仙的，我就无语了，我寻思不是白娘子先来沾惹许仙的？人家许仙要是娶个普通人哪来那么多难，又是被吓死又是被喷渣男，最后还得用一声在塔外守着白娘子，现代人的三观真让人不敢苟同
想取名叫阿让,保密,浙江,建议关闭弹幕食用[打call]真的是很棒的电影哦[给心心]
无棱影子,保密,河南,看哭了，很美
我草莓发卡呢,保密,福建,太好看了。看哭了，太美了
江,保密,广西,真的没想到，居然那么美，太好看了
_天地无穷极_,保密,陕西,制作可以说很用心了。在电影院一刷，想起来又来B站刷一遍，双倍满足!
小羽wyc,保密,北京,都在叫人家创新 创新  中国多少老东西就是因为创新。然后搞得洋不洋中不中的四不像了。中国老祖宗欣赏了几千年都没问题 ，到你这来了 就欣赏一次就感觉要落伍了一样。
秋月0孝三,保密,河北,好看
S幽鎏,男,四川,这才是有我想象中中国神话的样子，那些古偶剧真的提鞋都不配
德丽傻啊,保密,陕西,我大学那会我们要将作品。我就写了一个关于白蛇传的看法。我一直觉得，一个人都轮回转世那么多次了，性格记忆完全不同，许仙根本就不是当年救白蛇的人。只是白蛇报恩无门，执念放不下，把对书童的爱，转移到许仙身上了。而在许仙的视角里，就是偶遇了一个疯狂恋爱脑，然后也长的很漂亮见色起意
每天都有在学习丫,女,上海,非常优质的中国戏曲电影，表白啦[脱单doge]
花紫凝,女,吉林,没会员看不了。。。
LK?,保密,河北,雪没看明白，白蛇应该就两个选择也只有两个选择，要么入世失去法力，要么不入世继续修行，其他的影响只对许仙作用，许仙不在意，白蛇带法力入世就像在古代有核弹一样，一个不在意的举动就会影响世界平衡，盗仙草就体现出来了。。。
okaaaaaaaa_,保密,广东,五一带朋友游玩广州，经过荔枝湾的粤剧舞台，看到乐队和演员都是六七十岁的老人家了。虽然正值公众假期围观的人不少，但是外围驻足多是路过凑热闹的游人，匆匆拍了下照就就会离开，真正认真看的也只有头发花白的老人。当时就在想再过十几二十年，当这些观众或者演员都听不动 演不动的时候，粤剧会不会更加衰落了。而自己虽然是广州人却从来没有好好了解过粤剧。所以过来看啦~ 先迈出第一步，再慢慢了解，争取之后还可以给别人介绍我们的国粹。[打call]
Boundary5671,男,福建,好电影，台词也是字字珠玑
PAP_岚出山,男,江苏,给大家科普一下，这是戏曲，是假的，有艺术成分的，在外面轻易不要去搂别人，等人家摔完了考虑考虑再扶起来
赊120贯,保密,河北,我就想知道，这样的电影，为啥我都不知道，连广告都没，亏死了，我想花钱[大哭]
鸣水非,保密,江西,闲来无事，勾栏听曲[doge]
bili_14344612,保密,云南,这算是中国影史上最高雅的艺术呈现了吧
谢羲,男,湖北,好看。不过粤剧里比起“他”我更喜欢念“凇
本昵称未注册,保密,广东,大会员来也，免费看[doge]
花开木兰成诗,保密,福建,演的太好，太美了，2023年才知道这部，呜呜呜还好遇到了这部，不然错失好剧啊！
文件传输小助理,女,广东,小敏姐，曾院长，另粤剧院（红线女中心）就系我公司附近喔
藏起来的夏天,保密,海南,我2023年才知道有这部电影[笑哭]
绿一黄七,保密,广东,总是在说白素贞恋爱脑的人好烦啊，根本没有认真体会白素贞的人物情感，只是自我意识过剩的把自己的想法投射在白素贞身上。人家白素贞修炼也就是所谓的搞事业，就是为了续前缘好吗。
htlyjy,女,北京,[猫咪公寓_再来亿遍]
老铁歪了,保密,广东,好像回到了和奶奶还有老豆一起看粤语碟片的时光[星星眼]
jeclove,保密,广西,希望以后多出些这样的粤剧电影，一定去电影院支持
jeclove,保密,广西,当时特地和我姨妈去电影院看的，她喜欢看粤剧，那时她看完好喜欢。
M0M0_1oo86,保密,四川,这就是传统戏剧吗～每个角色都逻辑自洽，每次人物的交锋都不刻意抓马，而是先淡定理性地辩一辩各自的道理，无论什么样的小角色都能平静地唠两句自己的真理。如果传统戏剧代表的是真实的古人风骨，那咱们古时代是真的真的很浪漫呢[嗑瓜子]
澡盆王,保密,广东,我个人觉得不错的电影，戏曲表演白蛇传用电影拍出来。有戏曲里面的古典美，和戏台上想表演出的那种特效感神仙感的不足能电影表现出来。戏曲是中国传统娱乐，要说这个不好那就数典忘祖了。你可以说看不懂，但不能说不好。中国可是有粤剧京剧潮剧等等很多的地方戏剧。
机智的猫君,保密,江苏,我记得早期白蛇传里的许宣特别狠，把从法海那拿来的钵盂在后面偷袭白蛇。故事慢慢演变成了现在的样子也是有趣。
Adistant,保密,广西,恭喜获奖[打call][打call]给过电影票啦！今天再来刷一遍吧！！
大玉乐哥,保密,湖北,可以，赞??
勒蒂芬-詹里,保密,湖南,一千年后白蛇从雷峰塔出来注册了b站，看了这部白蛇传，看哭了[2233娘_大哭]
zxfLoveWD,保密,浙江,非常好的创新，老少皆宜！
独立摄影师pro,保密,广东,恭喜粤剧电影《白蛇传・情》荣获第十九届中国电影华表奖优秀故事片奖！[星星眼][给心心][星星眼]
碧荷叶cy,保密,天津,恭喜获奖！电影院看过了[呲牙]
rehellorin,保密,江苏,我一直念错 白蛇 传情[春季特辑・鹿鹿套装_害羞]
雅澈拾真,保密,广东,恭喜获奖啦[打call][打call][打call]
酒逢知己饮中仙,男,重庆,必须收藏
黑皮农妇在线做法,保密,湖南,23年又来重看一遍
李大贡,保密,北京,不好看呀这白素贞
帅气的李自炫,保密,湖南,留个脚印证明我来过[脱单doge]
小花谷丶栖眠,女,广东,曾小敏！我高中母校的校友[大哭]
小众妞儿,女,安徽,[酷仔]
折墨_,保密,湖南,其实我看剧情一切正常，直到弹幕出现了一句，大概是你老公老婆是蟑螂的这样的话，我当时脑血压都起来了，我要是许仙，我老婆蟑螂精，什么山盟海誓看我捅不捅你就完事[笑哭]果然立场一替换什么情况都能说得通了
风霜雨雪六十年,保密,广东,我真是无语疯了 剧中的姑山水还有人帮着求情  我只想说你有就是有没就没 有就是不行 不容狡辩 本来自家传统的展示空间都被挤压成啥样了 还在当老好人为他者求情 你每求一次文化复兴就慢一大步
黑眉锦蛇,保密,广东,"镇江金山咋老说西湖[藏狐]
你把西湖水整个抬起来都形成不了几十米的巨浪，镇江以前就在入海口，海边上不远，设定的就是海浪。金山海拔四十多米，长江的洪峰都做不到淹没金山。。。
水漫金山的雏形大概是在雷峰塔奇传，形容的是“倏忽，满地滔滔银涛雪浪，淹没金山。”
关于颜色，佛教五色象征里。黑（青）代表“定，伏，诛，怒”
黑罗汉是伏魔大阵，法海的钵和禅杖是定，后面的放大就是魔性（本体）激发后的三合一大招才能击退白素贞[藏狐]"
车子厘1,男,江苏,太美了
无聊人士他哥,保密,江西,突然想到一个搞笑的，如果白娘子属于旱蛇不会游泳，许仙那样放生。。。哈哈哈
小蝶桑,保密,河北,嘎嘎好听嘎嘎美，给我非常大的震撼
泡泡茶壶pooo,保密,广西,要不是老师推荐，真的错过了这么好看的戏剧了，真的很好看
飞跃青云端,女,安徽,好剧
资深吃货梨,保密,广西,第一次看粤剧，音乐真的好听，太喜欢这些演员啦。感谢你们
莫笑同舍生,男,广东,好看，推荐。[微笑]
诗茶学生3337,男,河北,根据诗茶评分，8.3分。我佛慈悲！
bili44362119809,保密,广东,以前总觉得粤剧是一群红红绿绿的脸谱人，翻一堆不知道为什么的跟斗，唱一堆听不懂的词。看了这个才知道原来真正的粤剧艺术家文能镜头怼脸眼神演戏，武能水袖卷灯秒杀替身。过硬的演员+白话的唱段+随心境变化的道化服+诚意特效+国画背景，每一点都戳中我，其它古风偶像剧真的被秒成渣了。
太医药好了没,保密,广东,真的要为曾小敏曾老师大力点赞，全片一个多钟看下来，我之所以没有因为戏曲本身的拖沓和缓慢的节奏感到困乏，要归功于曾老师惊艳无比的唱功和演技，文戏方面，曾老师的唱腔圆润而甜美，婉转而缠绵，堪称余音绕梁。让我听的如沐春风心旷神怡，是一种享受，配合上她细腻而丰富的面部表情，演技好到让我全程没有跳戏。而打戏方面也能看出基础功很扎实，在昆仑盗仙草一人打鹿童和Q童的戏份白素贞挥剑挥的凌厉干脆身姿舞的有模有样。飘然若仙，一句话概括，能唱能打又有演技，难怪能当上院长以及国家一级演员，反正看完这部电影后我发觉自己好像被她圈粉了[打call]
太医药好了没,保密,广东,真的良心电影啊，不明白为什么票房那么低，这不比那些圈钱电影好看的多，真的后悔没去影院
竖起的中指,男,黑龙江,这部电影诠释了什么叫做 第八艺术 。。深深的为这部电影感动。。
碱士丙走,男,浙江,确实好看
日光晃晃,保密,云南,这部剧值得9点9分，甚至可以更高，无论是审美，还是人物刻画，还有对情和理的理解，包括粤剧的展现形式，非常值得一看
一条小雨仔,女,江西,真的很好看
cossbow,保密,四川,孙悟空都见不得法海这种人
暮岁拾七,保密,浙江,[2023]
原来是空白啊啦,男,广东,这部电影的全部，包括它的文字、背景音乐、画面等，都在讲述着这个拍摄团队以及演员的深厚功底。电影中没有提到一个爱字，却把爱字覆盖在了整部电影之中，包括从相遇的时候产生的情，到相守之后得知白素贞是蛇后，许仙依然能够承认白素贞是他的娘子，以及包括当中白素贞为许仙求仙草、水漫金山等，都在述说着相互的对对方付出，包括最后许仙在塔前守她一百年，都在诉说着，两个人的感情必须是要两个人共同付出、以及共同守护的。没有单方面付出的感情，只有互相的作用才叫做情。太过直白的说爱我或许不太喜欢吧
蒙蒙青色烟雨天,保密,北京,我就学会一新词：愣头青[辣眼睛]
StMuye,男,福建,"5.1在厦门嘉庚剧院看了舞台版，意犹未尽特来再看一遍剧场版。真心推荐大家去看舞台版！
1.满分现场，值得多刷。不知道是不是因为有资助，前排最好位置只要380元！我看到后边直呼这位置卖我680都应该。
2.服化道具和制景都非常精细美观，仔细看演员的不同戏服装扮的我内心不住赞叹。
3.台词戏词写的太好了，因为以前没有看过粤剧，以为听不懂会不会全程懵逼。实际是边看表演边疯狂看字幕。台词和戏词的表演处处是惊喜，多次让我有黑暗处掏小本本速记下来的冲动――“至真至善至美，实乃情之所至”，“人若无情不如妖，只要有情妖亦人”，“谁的思念，暖了春天，谁的挂牵，永驻断桥边，谁的誓言，风里听见，……”
4.因为没看过电影版，不知道表演上区别大不大，不过舞台上的表演看的实在是太过瘾了，白素贞的扮演者曾小敏戏码给的足，表演功夫非常到位，各种情绪表达细节在前排看的清清楚楚。小青的扮演者朱红星给我带来了诸多惊喜，一些戏份我觉得要不是她的表演，都不能称得上精彩。其实在白素贞和许仙的表演时，小青几乎没有任何动作，有时还是背身。但很小的一些肢体语言都在表达她的内心活动。
5.音乐设计的很好，对舞台情绪渲染的帮助特别到位，尤其是水漫金山后许仙在断桥上一声“娘子”，加上当时配乐，直接把我喊泪崩。
6.感谢所有的老师们，这是伟大的作品！"
栀子徒,保密,河南,戏曲和电影的结合啊，这个算是比较成功的范例了吧，特效到演技都可以诶
cossbow,保密,四川,为啥喜剧喜欢反串呢？
黑橡果,男,河南,啊?之前不是要钱吗，怎么免费了
我詹goat,保密,广东,还好是粤语，要是国语就毁经典了
dzhy0426,保密,湖南,才知道有这个电影，回家再看了
QWQbcaa,保密,江西,厉害！
小啊啊哟,保密,江苏,这才是艺术品
图坤,保密,湖北,京剧也这样改良多好
雁云i,保密,重庆,这么棒的电影，为啥我们这儿没上映啊！[大哭]
疯行著,保密,甘肃,在线鼓掌[鼓掌][鼓掌][鼓掌]  好！！！
百词斩真棒,保密,广西,两年前在电影院和对象一起看的，看之前感觉可能会无聊，但是开始看之后就感觉无尿点，真挺好的
87498701016_bili,保密,广东,"新古典粤剧《倩女幽魂・爱》曲词一如既往啊，编剧和作曲还是同一批人，品质还是有保证的。

忘川河畔，奈何桥边
我泪水中映着你的笑面
随月光渐远
仿佛一场梦境
杜鹃也不见
唯留泣的弦，声声诉说
我泪水中映着你的笑面
随月光渐远
声声诉说，想你年年"
小胡子bu爱吃豆腐,女,广东,这个画面好舒服啊
千色花火,男,广东,不错  挺好的
小小_陈陈陈,保密,贵州,这才叫文化自信阿！融合通俗元素，影片唯美动人！
包子面条饺子,保密,北京,不错呀。。戏曲加现在的效果。。很好很好。。怎么现在才传上来。。这个就像以前的，那部戏曲白蛇传电影似的。。
王一一Sylph,保密,天津,好美??
你很礼貌吗,男,上海,小青这个版本结局不太明白。有好几个其他版本。有惨的结局雷峰塔同时把青白蛇都压住了的直到西湖水干雷锋塔倒塌才能释放。有好的结局白素贞生外小孩是人形后，法海醒悟就不继续攻击白素贞了，然后白素贞将毕生修炼传给了小青，小青就去拜南极仙翁为师修仙了，白素贞被镇压在雷峰塔下后许仙扫了七百年然后雷峰塔倒塌了。还有一个版本小青、白素贞和许仙功德圆满，一起飞仙了，还没忘携手法海……见于《新白娘子传奇》。这圆满大结局无疑加入了那啥元素。个人倾向于现实主义的话，小青必是爱憎分明、聪明勇敢、忠心大义的形象，会有个圆满结局，民间之善得到飞仙是最起码的结局，白素贞确实因为太动情没法成仙就变成雷峰塔永远留在世间，许仙永远在扫。
杀大腿,保密,四川,哭晕在床
阿德里星男模上将,保密,河南,@河南卫视 血书求豫剧版也出一个类似的电影[给心心]
原来是恩静啊,保密,吉林,中国历史上第一部电影就是戏曲片《定军山》，戏曲是我们的古典文化，告诉每一个中国人我们的精神，我们的心灵，我们的所思所想，是从何而来，知来者，可往八方。
