Column1,Column2,Column3,Column4,情感得分,情感倾向
昵称,性别,地区,评论,0.3913043478260875,消极
七彩炫光皮披虾,男,广西,[辣眼睛],0.5753352742123786,积极
zerve,保密,贵州,当时就想去看来着，没排片！,0.33463815024645904,消极
是李多鱼啊,保密,四川,李少红当初想把红楼梦拍成这样吧,0.8484566042487515,积极
夕月与舞,保密,江苏,投屏播放一顿一顿的,0.6193009245410125,积极
納蘭文鸢,保密,广东,刻骨铭心啊，拍的真好，好看，看哭了,0.9933676307215621,积极
曲水流沙,女,湖南,"不知道是不是受现在仙偶剧影响，我居然觉得法海没啥错，这版法海是我看过的最温和、最有宗师气派的一版法海了，前面对白素贞一直没下狠手，都是劝她离开去修道，最后白素贞和小青水漫金山才开大。白素贞用现在眼光看是有点恋爱脑的，为了救许仙又不管不顾水漫金山，害了钱塘百姓。所以最后她被压在雷峰塔下面也算是自作自受。过去我代入的是白素贞，会同情白素贞，但是水漫金山那里我一直在想钱塘老百姓怎么办？在回想赵雅芝那版的法海都没那么气愤了，真是时移世易，人的观念也会改变。当爱情不是唯一，大家对婚姻没那么期待后，很多东西看法也会改变，弹幕里看到有人说许仙吓死那里白素贞就该放手了。她继续修道，许仙进入下一世轮回，两人的羁绊就解开了。佛家也说希望人不要执着。
不过白蛇传也不能单单认为它是讲白素贞恋爱的故事，如果只从爱情角度看，什么梁祝、孔雀东南飞等老故事都要被批判了。实际王宝钏已经被审判了。在过去封建制度下，人们的婚姻不自主，白蛇这类传说最终固定的版本形式和初版已经不一样了，是人民自己不断优化的结果，也是代表了人民心声的选择。表现爱情婚姻自由的戏码是最能代表过去反封建的，也是老百姓喜闻乐见的。不论什么题材受欢迎的戏码都是能够引发情感共鸣的。这也是传统戏剧要思考的出路。",1.0,积极
小毛睿战士00,保密,广西,前两周刚刚到电影院看了《谯国夫人》，整场下来人数凑不齐两桌麻将,0.14551272441019336,消极
徒青空邑,保密,上海,红星姐姐我好爱,0.962260579672859,积极
fallinaangry,男,广东,支持,0.626712328767123,积极
gsggdgdgd,保密,四川,看不懂,0.42581389983146645,消极
长在树上的熊猫果,保密,广东,看完谯国夫人回来再看白蛇啦，谯国夫人也好看！,0.9410497071056598,积极
巨大蟹黄包chadwick,女,广东,大家快去支持谯国夫人[奋斗][奋斗],0.9961282868506239,积极
CN171-11救援隊,女,广东,看完谯国夫人再来看一遍白蛇，跟白蛇没得比呀感觉制作好粗糙,0.9766453219184869,积极
波本的吧,保密,广东,"谯国夫人看前一小时再看一波
从金三角回来就为了看这一部电影了，但愿太子炳唔好令我失望",0.47582580891638304,消极
乱入の奈须,女,广东,电影谯国夫人看完啦！大家多多支持呀！舞台版的谯国夫人也很好看！！,0.9432026522753377,积极
迷途狂奔,保密,广东,粤剧电影创新三部曲第二部《谯国夫人》已经上映了！欢迎大家到影院支持[打call]【【粤剧电影谯国夫人】超强阵容，影院见-哔哩哔哩】 https://b23.tv/MW3Uuik,0.998582585311353,积极
追忆羽,男,上海,放在现在2024年上映，绝对会票房大卖。,0.7790038605844987,积极
从此AFK,女,江苏,谯国夫人看过了，再回来看看白蛇,0.8240911961946229,积极
コノハナノサクヤヒメ,保密,广东,有谁是看完谯国夫人不过瘾过来重温的[笑哭]（谯国夫人也十分好看！欢迎多去影院支持～～～,0.999104945952847,积极
草莓里的霉,保密,广东,宝子们七月五号，《谯国夫人》就正式和大家见面啦，希望大家多多支持，包好看的[脱单doge],0.9942136857749027,积极
新世紀纯恨戰士,女,湖南,许仙也没错什么 他去找法海的时候也只是疑虑和动摇 然后就被钳走了 换作是我发现老公是千年蟑螂精 我就去淘宝买拜尔了,0.8125620894371173,积极
风纨_Funwan,保密,四川,画面也太美了……,0.8494079834596706,积极
仙灵岛上住着逍遥哥哥,女,广西,真的好好看啊！,0.8567169469372556,积极
黎阳王,保密,安徽,法海为什么穿厚底鞋？感觉很不像出家人,0.546595870095623,积极
顾璇玑sama,保密,未知,谯国夫人就要上啦~再转一次，你怎么知道我在电影院看的《#白蛇传·情#》[脱单doge],0.265890835485744,消极
Laylakkkk杏,保密,广东,听见粤剧眼泪都要掉下来,0.6366629481849732,积极
氛围紧张,男,安徽,看了好几遍，真的好看,0.8744159734132095,积极
-拂苍云-,保密,北京,国内仙侠和戏曲电影未来的发展方向就应该是这样的！！我们年轻人爱看啊！！我真的是遗憾，明明白娘子许仙这个故事是杭州的，应该做成类似这样的越剧电影，结果偏偏被广东的粤剧抢先了！不过说实话，《白蛇传·情》给戏曲电影特效化大片化开展了一条全新的道路啊！！,0.9999999855411263,积极
传说中的静,保密,广东,听不懂粤语，但是好美啊！质感很好，我个人比较喜欢古装剧的，看这戏剧电影妆造画面都好美啊，仙气飘飘的美，国风真的yyds，小时候看得最多的戏剧电影就是黄梅戏，除此之外就没有了。,0.9999999999376654,积极
asraam,男,湖北,为了卫道，所谓救一人搭上一城人，充分说明在道面前，人什么的都是堙尘，只要道在，权威可保万万年,0.9665618970049098,积极
帆帆是甜甜的,保密,广西,牛哇,0.625,积极
猛踹瘸孒那条好腿,男,江苏,别的不说，就冲这总策划，就值得看,0.7218355748966957,积极
浪笑呵呵,男,广西,细节太到位了，特别是动作和微表情y~y~d~s!!!,0.9575463329145077,积极
秋泣寒鸣,保密,辽宁,"许仙有啥错，谈恋爱的时候你也没说自己是蛇妖啊，许仙一个手无缚鸡之力的书生，突然发现自家娘子是一条大蛇，不怕就有鬼了……被吓到一命呜呼啊。
就这许仙还说『妖有情』那套，不错啦，还想要什么。",0.9999999456502205,积极
走A不走心,保密,广东,好睇,0.6317853705682674,积极
安然无恙GM,保密,北京,美！,0.8579088471849866,积极
迪拜-酋长,男,吉林,看白蛇3不如看这个,0.9124133238658223,积极
迷途狂奔,保密,广东,又到端午，来应应节[脱单doge]常看常新[给心心],0.9218736656132123,积极
八级熬夜选手,保密,广东,看完了，没有去电影院支持很可惜，服化道，剧情，演技，唱功都很厉害[喜欢]等待新作,0.9995036157303635,积极
小瑞9892,保密,湖北,水墨山水好有感觉,0.9489022475581671,积极
缘青青青,男,甘肃,这是我第一次尝试戏剧电影，我终于明白古人为什么爱看戏了,0.9962145184794415,积极
SFAN思凡,女,北京,绝,0.6142857142857142,积极
煎饼博士,男,北京,看到中华文化才知世界都是野蛮文化,0.9567677280566435,积极
煎饼博士,男,北京,流泪,0.8,积极
天峨红古树茶官方小号,男,广西,当时就是在电影院看的。非常值得。[脱单doge][脱单doge][脱单doge],0.38565078706506895,消极
惜墨沐宇,男,浙江,泪点比较低，看了 一小段就哭了,0.9742730416250077,积极
卡BU卡BU唧唧,保密,广东,拍得很好演得很好。棒棒哒。  白素贞修行千年，执迷不悟，简直枉费光阴！  须知宇宙之间，有得必有失，许仙一介凡人，百年之后，你们的情又如何延续？ 莫非要踏破地府，强留人间？  千年修行都无法领悟这个道理，可悲可恨…,0.9999999979799616,积极
森雨茂,保密,江苏,24年了，看的真是酣畅淋漓，虽然听不懂粤语不影响听着舒服，头一次看戏剧看完一部的，没有在影院看一大遗憾。,0.996212424015026,积极
店小二yes,女,海南,好特别的一部电影，看的身心舒畅，之前都没刷到过相关的内容但是一点开就被硬控住了，只想继续听下去看下去，不舍得离开,0.9823243600335062,积极
孤与它对刀枪,男,江苏,第几遍了呢...,0.6419244858263048,积极
通辽枢密院枢密使,女,浙江,在线下电影院看过，很惊艳，她一唱我的鸡皮疙瘩就起来了,0.6421138397699945,积极
我素酱油,女,广东,好看，马上买票去看粤剧现场,0.16104773167222897,消极
咔滋拉哒,男,四川,不错不错,0.9719626363008976,积极
珍珠奶茶玩偶,男,四川,有意思,0.8369565217391306,积极
星沙幻梦,男,河北,没想到拍的这么好，太精彩了,0.4912758674327411,消极
大道克己丶,男,广东,太好看了,0.5375152786177115,积极
一溪流,保密,江苏,好片子··,0.8094525760130782,积极
sxhell,保密,上海,精彩，这是好东西,0.7996307397730226,积极
红尘參梦,男,上海,说法海管的宽的，你别代入许仙视角，你应该代入水漫金山被淹死的那些人的视角,0.9481095088232039,积极
糖醋烤鸭,保密,湖北,万人血书出梁祝，绝对爆[打call][打call][打call],0.8343203566957688,积极
LLXLXYY,保密,内蒙古,画面太美了,0.7802842064208241,积极
周兴远,男,湖北,顶级的,0.9411764705882353,积极
找虐的就是我,女,湖北,看了剧场版的白蛇传·情啦，曾老师牛，小青也非常好，其他演出人员也都演得非常棒。打戏真的牛，票价还便宜，真是物超所值！,0.9999995259624612,积极
reclife,保密,上海,可惜当年不知道有这个，没有去影院观影，可惜可惜,0.9652660825730113,积极
s蘑菇炒肉,保密,黑龙江,这才是中国的东西，现在的一些古偶啊，仙侠啊拍的是哪国文化我也不知道，我也没见过。,0.7928875949732233,积极
涼宫はるひ,女,广东,说真的无论哪个版本我都觉得法海做的没有错，这两条蛇带灵入世就错了，后面不用说，你想想许仙被她吓死她就打上仙山，那如果许仙老死呢？是不是要打天庭？打不过就要撒泼灭人世？这个趋向从水漫金山就能看得出来，有的鸟兽鱼虫之为鸟兽鱼虫，是因为他们活该天生成为鸟兽鱼虫，我要是法海我直接给他灭了,0.9671627492963646,积极
Auselrys,男,浙江,我的眼泪不值钱呜呜呜,0.5872510874287602,积极
九十酒o_0,女,江苏,连续看了3天，还是意犹未尽，回味无穷！简直视听盛宴！影视剧评分给过最高分9.5！这个封神了！10分了得！,0.1211972269869952,消极
GaloThymos加急补充中,保密,广东,我看看我看看[Cat_dash],0.5,中性
Aphiowood,保密,四川,我外公从来爱看戏，这电影他一定喜欢。,0.9934356514929551,积极
许仙大战许褚,保密,江苏,白娘子最让我佩服的就是本领好强又很有自控力，一直用防守代替攻击，避免杀生[抱拳][抱拳][抱拳],0.6969766389994299,积极
jgdpzxp,保密,江苏,个人一直有个不成熟的观点，不论小说，戏曲，评书，皮影等等等等传统艺术，本质上都是说故事的不同形式，在历史长河中融入了不同地区不同民俗的风格，从而形成的不同的表现形式。而一直以来都说戏曲是国粹，要传承，可是随着时代的发展，现在欣赏戏曲的人是越来越少，私以为应该还是在某些方式上守旧了。而从当初看到预告片就觉得这才是戏曲的正确传承方式，正片不负所望，实在太棒了，几位老师的戏曲功底极其深厚，一个动作一个眼神透露的那股味，两个字专业。非常感谢创作这部艺术品的各位艺术家，无限期待下一部作品。[支持][支持][支持],1.0,积极
薛大小姐的珊瑚宝,女,江苏,剧场版的巡演又开始喽，感兴趣的朋友可以去剧院里看看呀，现场也很精彩！4.14澳门，4.19浙江温州，4.23湖北武汉，4.27安徽合肥[奥比岛_击爪],0.955427533614454,积极
是大虾ya,男,广东,呢部电影咧，系我自己去电影院睇嘅当时系知道系粤剧嘅情况。有几个外地又唔知道直接买影票嚟睇然之后话点解系粤剧嘅，唱啲咩嚟噶。,0.3759566958284045,消极
黛玉哥,保密,西藏,作为一个北方人，我一开始是冲着这部电影的精良制作去的，看到最后却是被中国戏剧的美所感染的。,0.9999664477275649,积极
暮梓食夜,保密,广东,"别的版本的故事各有评说，但这里是各方都无大错，仅因立场、角度不同而有了敌对。这里面都是人无错，但法、理难容。
白蛇青蛇既一开始未与许仙言明自己身份，那当秘密被突然撞破，且是以法海极为强势的插手干涉的方式撞破，那许仙的恐惧、软弱其实是理所当然的。你不能将秘密一直隐瞒，被揭穿时又指望别人能立刻接受。
法海受于佛命，本质上他非小青小白的敌人，他渡化许仙阻拦白蛇，在小青看来蛮横至极，但在法海自己看来至少未有波及他人，而小青三言两语不合就是水漫金山威胁，确实也不是好人。
这里其实又反映出了一个问题：人、妖的价值观就是不同甚至冲突的，而这样的冲突可能因各种原因酿成大祸。",1.0,积极
该头大爷,保密,广东,今年新年期间，这部戏曲第一次下乡演绎，真的太受震撼了，我和爸妈一起去看的，前面坐的也坐满了，站也站满了爸妈在前面找到了位置，我就在后面站着看完了整场，真的这就是国粹带给我们的感受，每一帧都是艺术美学，看到最后泪水早就塞满我眼球了，第一次看到这么新疑的粤剧[大哭][大哭][大哭][大哭],0.9999939343592236,积极
墨谙ang,保密,云南,真的好美啊！！！！画面音乐人都好美啊！极致的享受啊[桃源_给花花][桃源_给花花][桃源_给花花],0.9999978519787686,积极
咸鱼末日之时,保密,四川,我记得白娘子传奇，老电视剧那一版，许仙进门掀开帘子就是一个巨大的蛇头冲出来，小时候是真的被吓到，而且老电视剧特效不像现在这样，效果更恐怖了[tv_皱眉],0.9842776405390362,积极
janmars123,保密,北京,且不说绝美的身姿腔调和服化道，单是叙事节奏的把控、对人物性格的生动塑造，就可以一骑绝尘，吊打大多数电影了。,0.6761689766367182,积极
恶龙咆哮嗷不出来,保密,河北,美丽动情，好喜欢,0.9377453997571981,积极
安徽蚌埠陈幸伟,男,江苏,弘扬优秀传统文化，传递真善美，已投币支持,0.999789710081748,积极
喔是卖报滴小行家,保密,广东,太美了，不知道还有剧场版的没，一定要去看看现场的,0.266203474535299,消极
大嬛今天自恋了吗,女,内蒙古,"就说为啥不让他俩在一起。
白素贞用法术帮许仙开店，钱又不能凭空变出来，肯定是从别人家偷的呗。看过西游记都知道，变化术是不能凭空变东西的，只能把一个东西变个样貌，本质还是那个东西，法术失效就恢复原形了。像你本来没有的东西，你只能用搬运法搬过来。白素贞也不懂铸钱之法，那肯定就是从别人家偷的。
一个妖怪为了自己的凡人丈夫，偷取别人的钱财供丈夫所用，犯法也不用付出代价，反正她会法术官府查不到。
白作为一个妖怪在人间，逃脱法律之外，这就已经是不对的了",0.9738972426988004,积极
地煞七十二变,保密,江苏,什么时候复映啊??,0.9064698306353184,积极
监督我学习嗯,保密,四川,好看,0.7112462006079026,积极
我的乐事,保密,广东,有没有大神知道哪里可以找到中英字幕版的呀TT,0.574601291151946,积极
亿堆沙雕,保密,内蒙古,真好看呀,0.7147582337589132,积极
柠檬又抽了,女,浙江,真不明白许仙软弱又无能，白素贞到底看上他什么了[难过],0.9747031088422415,积极
道心破碎的打工人,保密,广东,可恶，居然免费了？当初刚上线的时候还花了6块还是多少[doge],0.005256367377912019,消极
香菇牛肉汤婆婆,女,江苏,2020电影院里面看了两遍，又自己去看了一遍，手机又开了VIP看他,0.49971457113644446,消极
青灯夜行,保密,广东,艺术品啊真的是艺术品,0.969551764387454,积极
摄鹿,保密,云南,顶中顶的剧，非常喜欢,0.9912828491528993,积极
紅爐点雪,保密,河南,拈花向君  如是一梦,0.9263674368200551,积极
账号已注销,保密,未知,我一直都想成为许仙的，你知道的，蛇在春天的时候，是二十多个小时的,0.9875503395748254,积极
捷诺Xeno,保密,北京,戏曲艺术家的文戏和武戏功底碾压影视演员，一个眼神的信息量堪比半页剧本。吊个威亚就是仙侠风骨，抽出长剑就是行云流水的武侠桥段。这一版法海的塑造非常大气，金刚怒目，移山分海，但心怀慈悲，一直从维护天道人间秩序的角度劝白素贞放下执念专心修行，这才是得道高僧应有的气度。金山寺众罗汉的亮相压迫感拉满，但招招留有余地，只是驱赶不欲伤人。小青的人设也非常丰满，清醒干脆又不失人情味。金山寺中法海苦劝白素贞，当时小青一个看向白素贞的眼神就清楚地表达出她有那么一瞬间是赞同法海的，但白素贞不退却且真情流露，那她也能有理有据地帮姐姐驳斥法海。如果院线重映一定去支持。,1.0,积极
awsl多少次,男,广东,拍到曾老师了 我不敢上去合影 [笑哭],0.8367355237768981,积极
河六更,男,湖南,当时看这部电影时就在感慨，原来戏曲也能这么拍，太美了，太震撼了,0.9939853172494372,积极
孤单灿烂的白神,保密,浙江,我带奶奶和我爸看的，没几个人当时坐标如皋[呲牙]很美但是听不懂，我以为是我奶奶经常听的那种，后来看完问才知道她爱看的是越剧不是粤剧[藏狐],0.9996064643620082,积极
洛1天依粉,保密,山东,这么好的电影，竟然没去电影院看有点可惜,0.5369988894017337,积极
奇物-定分枪,保密,安徽,白素贞是真下头，和国女一样喜欢骗，完全就是骗婚，而且妖力强大以后肯定是家暴女，难怪被法海收拾,0.7339221325055375,积极
冈田纱佳の现任,男,安徽,电影是不错，但是别碰瓷好莱坞了，吹都吹不到点子上[呆],0.07415400201140254,消极
王和玉兰花,保密,重庆,好幸运当时我去影院了[爱心],0.9903332325020341,积极
Der到成仙儿,男,内蒙古,五刷,0.5,中性
栖鸦去尽远山青,保密,陕西,今天戏曲春晚看到曾老师了，老师声音一出我就立刻窜起来了，我真的好爱白蛇传情，看了太多遍老师唱粤剧的声音我都记住了,0.999963498788671,积极
兔仔妈2018,女,北京,感动……让我回想起60年代中日合拍的白蛇传的原版，也是最早的版本。那部是完全根据原著拍的，如果你们看过那部片子，或看过原著，就会明白，法海是救许仙的，只不过他执迷不悟。和徐克那部《青蛇》里的许仙一样。,0.9999853104922566,积极
怜悯吾,男,江苏,前几日观看，剧组非常好，这么好的电影没火，真的是时不我待。恨今朝，饮酒思愁。,0.9327276742899155,积极
漫画137,保密,广东,当时真的没有几个宣传 有幸去电影院捧场了超级好看,0.516435797021457,积极
加急康康,保密,广东,有没有05的[脱单doge]男的，我真心喜欢粤剧,0.8601332257838151,积极
OkabeShinpei,保密,四川,比起好莱坞差到哪去了,0.5847744319079365,积极
眼中再无意中人3526,保密,吉林,这部电影的打戏很好看，特效更好看！[支持][支持][支持][支持][支持],0.9993928879778528,积极
双叶幼稚园一哥,男,北京,你还不,0.41606848585605616,消极
非洲欧皇哥,保密,广东,[喜欢][喜欢]我对这种有场景搭配的粤剧拒绝不了一点,0.7356870462304348,积极
宝藏男孩吴以岭,保密,广东,这就体现出互联网平台的好处了，一些成本低但比较优质的作品可以放在互联网平台上，不用跟那些大片争，让时间去创造自己的口碑，总比午夜场多一些展现的机会吧,0.999811890871026,积极
縮骨強,保密,广西,搵好耐都無知邊處有?終於在B站搵到嚟部戲啦，好激動啊。人生首次睇粵劇可以發彈幕[笑哭],0.9248741266149272,积极
殇薛飞,保密,浙江,好好看啊啊啊,0.8201720339913172,积极
任意门的说,保密,湖北,知道口碑好，但不知道原来居然这么好看[大哭],0.6634635576564578,积极
无聊人类的生活方式,女,河北,能再上影院吗？，想上电影院看,0.11693276070882808,消极
起星鱼了ovo,女,安徽,[保卫萝卜_哭哭],0.5171890946671688,积极
好子弹上膛,保密,福建,非常棒，影院看了两场,0.9874158512074817,积极
B站最后一名用户,男,四川,施主，她在缠绕你啊,0.7897740429366419,积极
应是如来,保密,广东,谁2024又看一遍,0.7765828490452095,积极
奈何少年不年少,男,浙江,一年一刷,0.5,中性
susan是偏执的,女,北京,可否重映啊！这么全方位优秀的作品没能去电影院看感觉错过了一个亿,0.9917412121891332,积极
白雪月乃,女,江苏,好几次泪目了,0.1666094152146983,消极
榆树檩,保密,四川,我愿称之为艺术品,0.9369478678867806,积极
hoki-九刚,保密,河南,太好看了这部电影，里面的每个唱段都好听。最后月声起的时候，我的心也碎了，呜呜呜~为这凄美爱情干杯( ゜- ゜)つロ,0.9887371843935037,积极
风易飞,保密,广东,我居然没看过这个白蛇传[笑哭]，这剧情这法海太赞了??,0.7123454401310104,积极
藤原和树,保密,河南,法海降雪那里的曲子叫什么名字啊,0.9816370544201192,积极
泰尼普,保密,广东,[笑哭]放假三天刷了三遍，听的鸡皮疙瘩都起来了,0.7895465821058338,积极
1212呵呵1,男,上海,伟大，无需多言,0.8780844279994069,积极
冰墩墩20001号,男,江苏,1:24:49,0.5,中性
冰墩墩20001号,男,江苏,1:01:01,0.5,中性
青旃默染,保密,上海,[tv_doge]好了，下一个开始在追一遍孟姜女,0.9603372812233838,积极
lonorca,保密,浙江,神作,0.5,中性
lonorca,保密,浙江,之前在电影院看的,0.5618565332226944,积极
李向芝,保密,未知,为郎甘愿，飲雄黄,0.6892288955594477,积极
bili_54932812789,男,广东,可以利用现代的后期手段做成布袋戏这样的艺术形式，让年轻人接受的方式呈现才能继续存续。,0.9999993515479889,积极
水丶豚骨拉麵,保密,广东,艺术！艺术啊！,0.9829407374692493,积极
缝缝补补的人生,保密,江苏,汗毛竖起来了，看完酣畅淋漓,0.8765650764636639,积极
junhongliao,保密,广东,难以想象看到本片时的感动，一直跟着拍子敲指头，一边眼泪哗哗的流，浑身鸡皮哗哗的起…………,0.922171144239823,积极
鵼大师,男,未知,太顶级了我靠,0.8830348005773195,积极
huge113,保密,江苏,如果京剧 黄梅戏都这么拍，还愁没有年轻人看嘛,0.9652668309334028,积极
冷清清人在何方,女,广东,我去！之前朋友推荐一直想看忘记了，今天来一刷惊艳到了,0.9573686732254594,积极
彼岸花啊娘,保密,浙江,小青：我信了你的邪，哈哈哈哈哈哈,0.995234670532178,积极
大喵想喝水,女,浙江,我今年看过最好的打戏是在戏里[辣眼睛]望娱乐圈一些208报戏班子进修一下吧,0.09927764889385149,消极
Mizuginn,保密,广东,什么时候线下再排演出啊 之前还在上学没办法看 现在工作了有时间也有钱了发现根本没有地方有演出了[物述有栖_酸辣][物述有栖_酸辣][物述有栖_酸辣],0.9754855157247264,积极
lxg007,男,重庆,太出色了，太出色了，真的震撼到我了，我一直很喜欢戏曲，但是我真的不知道戏曲配上现代特效和实景背景会有这么出色，这么惊人的演出效果,0.9981670058006364,积极
lxg007,男,重庆,这部作品其实没有做到我心里想象的传统戏曲改电影的最好，但是这个剧情改变真的让我感动的泪目了，没有抱着古老的古人的那一套，而是做了符合现代人价值观的改编，许仙，法海，白素贞在原版故事里的不太符合现代人价值观认同的行为和言论都做了合理的改编，太出色了，我不知道编剧是谁，但是他绝对是个真正的天才，看到这样的作品，我对传统文化所一向抱有的悲观态度也有一些改观了，本来我觉得50年以内就会消亡，现在我觉得还是能撑到我离世的，真的，想到这个我激动的哭出来。至少在我死之前，我不希望我来的那个文化环境断根，真的谢谢这个剧组，让我看到了一些希望[大哭][大哭][大哭],0.9999999999999991,积极
lxg007,男,重庆,传统文化要怎么发扬？答案就是这样了，不是抱着那些老古董逼着年轻人接受它，而是自己变成很酷很屌很炫的东西去适应年轻人,0.9999993645710213,积极
无冬之夜888,保密,贵州,以前觉得许仙就是个无能渣男。看了这部剧，第一次被白素贞和许仙的故事感动到，精彩绝伦,0.999970511459633,积极
魔兽诚可贵,保密,广东,我怎么看都是 白蛇-传情,0.9741404494455065,积极
浇水养花吧,保密,山西,真是美啊！,0.8599882147717239,积极
十四十行,保密,云南,很不错，,0.9200760629671317,积极
bili_17898656550,保密,广东,完美[支持],0.8757366691493097,积极
尹伊555,保密,浙江,哭啦[大哭],0.8401863186095961,积极
青江小鱼,保密,四川,这部戏真好，很感人,0.9968951464976987,积极
大天使米迦罗,保密,重庆,"还是先把西湖的水弄干净再说吧,隔老远臭死人了",0.023419818775766266,消极
阿呆可爱佛一个,保密,广西,太久了有点不记得了，当时感觉对许仙是有失望的。,0.40666807990909004,消极
Myail,保密,广东,支持粤语，,0.6018335324800816,积极
冬阳老baby,男,江苏,这剧真的神了[星星眼][星星眼][星星眼],0.6057101822828542,积极
阳阿公主李刘旻鴍,女,未知,妳们在撒谎??本宫【阳阿公主李刘旻鴍】根本不认识什么佛母[阴险][黎明觉醒_怒了鸦][生气]#白蛇传·情#,0.7428554933582446,积极
XFDream,保密,山西,真的好看,0.7147582337589132,积极
不要滥用激素眼药水,保密,江西,按照传统的说法，白蛇是属于不走正道，偏离了伦理大道，从仙道脱离，不守纲常，由精灵变成了妖,0.9998959496797879,积极
这个称昵应该不会存在,男,云南,卡,0.2986486486486488,消极
爱马栩,保密,江苏,这大制作，在戏剧里属实没有想到,0.6881150164845473,积极
现实更善良,保密,河南,孙悟空怎么可能斗的过千年大妖白素贞，没可比性。,0.23941290382379066,消极
虎8同学,保密,江苏,戏剧原来也可以这么美！,0.9743920694075836,积极
星星冷啦眨眼睛,女,上海,留个爪，明天继续看,0.6144038815672503,积极
性认知女进女撤被无期,男,甘肃,好看一个00后看的津津有味,0.9823538193870783,积极
我爱新疆哈密干,保密,山东,[热词系列_可以],0.7158694181936329,积极
刘姥姥大闹宁国府,保密,广东,好看，好听，好美,0.9118274214053824,积极
machine841567,保密,北京,"唱腔温柔辗转  功夫扮相 词也好 场景也妙哉 
白素贞水袖是真功夫吧 会魔法吗？ 
这个团队值得打call",0.9973332756274835,积极
machine841567,保密,北京,拍的太好了 牛逼,0.6006099936710331,积极
山迎户,保密,湖北,与君初相识，犹如故人归。,0.7665612189070139,积极
祖传大鹿,保密,广西,感到屏幕色差的威力了，01:26演员的妆在手机上是偏粉色，颜色发艳比较跳；在电脑上看是偏橙红，饱和度很自然[小电视_思索],0.9755493682366629,积极
呼喊2,保密,浙江,好看，是一次大胆的尝试。现在舞台剧也火了。传承中华文化[星星眼],0.9936243795663009,积极
可怜的Tom猫,保密,安徽,很美很好看！！,0.8916062085475063,积极
spica123,保密,江苏,啥时候上张曼玉那个,0.969583443595617,积极
吾辈又不是猫,保密,辽宁,希望能有更多的戏曲作品登录大荧幕[星星眼],0.9215189079777947,积极
安志杰高州分杰,男,广东,第一次知道粤剧还能拍成电影[doge],0.6656989472066822,积极
潇赫彦,保密,广东,致敬艺术,0.9805510976692554,积极
DB木子,女,江西,真的期待《梁祝》,0.9547631323375003,积极
撸铁勺,保密,广西,真的太绝了！！！,0.19235866754890674,消极
